lon,lat,price_sqm
139.72100973129272,35.77781001831596,71.67
139.72100973129272,35.77781001831596,68.33
139.72100973129272,35.77781001831596,61.82
139.72100973129272,35.77781001831596,50.00
139.72100973129272,35.77781001831596,83.33
139.72100973129272,35.77781001831596,83.33
139.72100973129272,35.77781001831596,115.38
139.72100973129272,35.77781001831596,121.67
139.72100973129272,35.77781001831596,114.29
139.72100973129272,35.77781001831596,50.91
139.72100973129272,35.77781001831596,103.33
139.72100973129272,35.77781001831596,101.33
139.72100973129272,35.77781001831596,98.75
139.72100973129272,35.77781001831596,76.67
139.72100973129272,35.77781001831596,116.67
139.72100973129272,35.77781001831596,149.09
139.72100973129272,35.77781001831596,66.00
139.72100973129272,35.77781001831596,64.00
139.72100973129272,35.77781001831596,111.67
139.72100973129272,35.77781001831596,98.46
139.72100973129272,35.77781001831596,68.00
139.72100973129272,35.77781001831596,70.00
139.72100973129272,35.77781001831596,47.27
139.72100973129272,35.77781001831596,131.11
139.72100973129272,35.77781001831596,72.00
139.72100973129272,35.77781001831596,133.33
139.72100973129272,35.77781001831596,47.27
139.72100973129272,35.77781001831596,104.00
139.72100973129272,35.77781001831596,132.31
139.72100973129272,35.77781001831596,145.71
139.72100973129272,35.77781001831596,80.00
139.72100973129272,35.77781001831596,113.85
139.72100973129272,35.77781001831596,107.50
139.72100973129272,35.77781001831596,158.18
139.72100973129272,35.77781001831596,70.00
139.72100973129272,35.77781001831596,92.50
139.72100973129272,35.77781001831596,60.00
139.72100973129272,35.77781001831596,93.33
139.72100973129272,35.77781001831596,97.33
139.72100973129272,35.77781001831596,73.33
139.72100973129272,35.77781001831596,97.50
139.72100973129272,35.77781001831596,92.31
139.72100973129272,35.77781001831596,137.78
139.72100973129272,35.77781001831596,65.33
139.72100973129272,35.77781001831596,70.00
139.72100973129272,35.77781001831596,65.00
139.72100973129272,35.77781001831596,54.29
139.72100973129272,35.77781001831596,89.33
139.72100973129272,35.77781001831596,70.00
139.72100973129272,35.77781001831596,148.89
139.72100973129272,35.77781001831596,157.14
139.72100973129272,35.77781001831596,93.33
139.72100973129272,35.77781001831596,150.00
139.72100973129272,35.77781001831596,142.22
139.72100973129272,35.77781001831596,88.57
139.72100973129272,35.77781001831596,100.00
139.72100973129272,35.77781001831596,104.62
139.72100973129272,35.77781001831596,142.86
139.70236837863922,35.76861785110363,46.67
139.70236837863922,35.76861785110363,98.57
139.70236837863922,35.76861785110363,70.00
139.70236837863922,35.76861785110363,97.33
139.70236837863922,35.76861785110363,100.00
139.70236837863922,35.76861785110363,27.14
139.70236837863922,35.76861785110363,44.00
139.70236837863922,35.76861785110363,102.67
139.70236837863922,35.76861785110363,75.00
139.70236837863922,35.76861785110363,38.18
139.70236837863922,35.76861785110363,49.09
139.73250031471252,35.77806243973508,80.00
139.73250031471252,35.77806243973508,88.57
139.73250031471252,35.77806243973508,90.00
139.73250031471252,35.77806243973508,92.86
139.73250031471252,35.77806243973508,85.71
139.73250031471252,35.77806243973508,77.14
