국가,클릭수,노출,CTR,게재 순위
일본,7,87,8.05%,11.6
한국,2,62,3.23%,20.27
미국,0,31,0%,15.52
호주,0,11,0%,51.36
캐나다,0,8,0%,40
영국,0,7,0%,67.43
인도,0,5,0%,18.8
브라질,0,5,0%,20.8
네덜란드,0,4,0%,25.5
독일,0,4,0%,28.5
파키스탄,0,4,0%,32.75
싱가포르,0,4,0%,44.25
이집트,0,3,0%,23.67
멕시코,0,3,0%,31
말레이시아,0,3,0%,32
러시아,0,3,0%,32
베트남,0,3,0%,40.67
이탈리아,0,3,0%,63.67
카타르,0,2,0%,6
스웨덴,0,2,0%,6
대만,0,2,0%,6
그리스,0,2,0%,10.5
이라크,0,1,0%,4
오만,0,1,0%,4
아르헨티나,0,1,0%,9
체코,0,1,0%,9
태국,0,1,0%,9
프랑스,0,1,0%,10
방글라데시,0,1,0%,38
인도네시아,0,1,0%,60
아일랜드,0,1,0%,65
